"Gene_Symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"LGALS3",-2.46482739825357,4.08921218963318,-5.23820827308973,0.000969073919238204,0.0450152230418551,-0.415884120637255
"SLC41A1",2.22191138625296,4.41663179152618,5.40339038827181,0.000802322237597348,0.0415308938408215,-0.193880350456467
"RXFP2",-5.1236342193734,1.56536078607377,-12.0971955058527,3.48965534763217e-06,0.0129553486500286,4.87639914250753
"KL",-5.39195907637883,-0.392434342492849,-9.50996740546747,1.91609256415887e-05,0.0129553486500286,3.03248057497277
"LGALS12",-5.23193667061882,2.9176332022043,-11.5307628621445,4.91666228781169e-06,0.0129553486500286,4.68593348168513
"MYO18B",6.6916403617836,2.79791627231115,6.01876079309793,0.000409757974688085,0.0354785644397825,0.561848942543943
"TEX15",-6.26513047204828,-0.767186590428234,-7.74403417684197,7.85427156005234e-05,0.0166436923277234,1.581526204518
"PTGFRN",-3.82776957103282,-0.168539566700448,-5.4592298532368,0.000753334172569261,0.0405827497155983,-0.0128239186212395
"SPIRE1",-3.31859126753044,3.47173172824011,-6.89627427124703,0.000170066695706307,0.0230334114383629,1.38779999402302
"MYCN",-5.67071629315349,-1.99361350146121,-6.94162904247673,0.0001628853952443,0.0229159328565347,0.912513550636247
"ANKRD16",2.24877331742178,3.52605725448303,5.02228064280232,0.00124743159455548,0.0491792653644227,-0.566857113866889
"HRH4",-5.11673706194947,1.78310718521523,-9.38917260082977,2.09468960171097e-05,0.0129553486500286,3.36552845867895
"CABLES1",-2.88736155960694,3.49234019142837,-5.71684292302845,0.000566330086452033,0.038141217141841,0.139863998298085
"DSC2",-5.76244540727885,2.48677186681505,-9.34708906508971,2.16124600979055e-05,0.0129553486500286,3.3675534175879
"CLDN10",-3.91331798037162,-0.0423098612398581,-6.71165237632934,0.000203173295848043,0.0246021092704568,1.20733934800166
"TES",-1.67715649506595,5.16612561577932,-5.72476446780897,0.000561459504347971,0.038141217141841,0.109936620312621
"EPHA7",10.1171747105285,-0.315707439858315,6.81920803424012,0.000183093357304993,0.0233498969664172,0.774252107904449
"CD63",-2.44559686443424,6.65497879832678,-6.76662772768785,0.000192618947229286,0.0241879459474406,1.21455311554866
"FLNB",2.29456673403223,7.33392195468665,5.61140078755244,0.000635821507699897,0.0393952904948245,-0.0197483803303333
"NEK3",-2.0681841480689,2.95203304728074,-5.56279471486439,0.000670992057307011,0.0396302972281757,0.00115311882268987
"TNS3",1.75576907128293,6.98100099442236,5.09936098137037,0.00113906174951862,0.0470890870530544,-0.639638856895078
"AOAH",-2.50263828842877,7.47698991955932,-6.21883619639981,0.000332712546813383,0.0323845518651897,0.660249016408065
"FPGS",1.83197706337981,5.87494428763211,5.37596718139904,0.000827661140897007,0.0417794307426,-0.288988577629906
"TTLL7",-5.30176685330779,1.60081980136684,-8.94812243499988,2.9252299663519e-05,0.0129553486500286,3.05754676421872
"CDK15",-5.15196292303107,1.06202349915511,-5.13002805563438,0.00109886525019332,0.0470890870530544,-0.382028082569428
"ITGAV",-2.85003308834631,2.99288463757426,-6.85690564685535,0.000176587263410808,0.0230334114383629,1.35393993327799
"GPAT3",-3.30857846722729,3.63537143726568,-5.83536720589134,0.000498087273706823,0.0371157121209447,0.297584888132296
"SHROOM3",7.7429949841091,0.270076858743292,5.76105059677404,0.000539734118292953,0.0374737582540394,0.148352353434187
"PAPSS1",-2.00234969069919,6.56949819184094,-6.27633323050856,0.000313657895356064,0.0312793894886971,0.710007714215042
"PRICKLE1",-3.9581069958392,2.98694982567881,-6.22908402003142,0.000329224207994174,0.0321990772270456,0.711451956402391
"LGR5",8.13970993721996,0.652569752584473,8.96726797446919,2.88229723136063e-05,0.0129553486500286,2.3661778951083
"RAB20",-3.75940001377164,2.31368542840287,-6.74694696821738,0.00019632543557733,0.0241903814921889,1.25944958382035
"SLC27A2",-3.61806462120369,3.76848761129382,-8.24009985671385,5.15401137989292e-05,0.0136166303248262,2.56657774082924
"HDC",-6.4883909370938,3.68295262991275,-10.8808671769249,7.42800939510769e-06,0.0129553486500286,4.3359941753641
"NEIL1",2.81343526178889,4.59157991040126,5.16081696186557,0.0010600755453934,0.0466351041892185,-0.483237038986417
"GPR32",-6.12336558446376,-3.6724999293858,-5.11635308643177,0.00111659317691159,0.0470890870530544,-0.481241134185444
"IGLON5",-4.38742830274593,-2.37270866241981,-5.15503481847322,0.00106724360430661,0.0466351041892185,-0.354797256939316
"C1orf216",-2.13496303720298,1.73215242650181,-5.55512322607778,0.000676737201047392,0.0396302972281757,0.0417282406468082
"ZNF697",-5.07827072473914,0.111169672986321,-8.98151409863303,2.85081004506128e-05,0.0129553486500286,2.95367540444787
"ATP1B1",-3.28290883987077,2.32687122914536,-5.19509362086851,0.00101865778036596,0.0461526842449547,-0.397693935606674
"FCGR2A",-2.73522091686622,4.0282557399619,-8.68418365701781,3.59656459960775e-05,0.0130684363695864,2.91609321680638
"ADAMTSL4",-2.73474228407593,1.69978587156829,-5.15638876898306,0.00106556034986894,0.0466351041892185,-0.406984829180222
"SEMA6C",2.89880055830773,2.41669540671152,5.94246311193288,0.000444199639088769,0.0365147026359933,0.484810193886457
"DYRK3",2.57887480512218,4.76439369263755,5.76423088367103,0.00053787485322425,0.0374737582540394,0.216262576100201
"LYST",-1.96565421950738,8.90405774623139,-5.02731411403784,0.00124001874518876,0.0490772399482004,-0.680254594319562
"AFF3",2.76906221816868,9.44336063584658,5.36437454931,0.000838637409657248,0.0420365173382323,-0.272127384606875
"FAM171B",-3.33065553220233,0.391170505054295,-6.06016508845984,0.000392315868955165,0.0350038672024339,0.608571505812047
"PTH2R",-4.02770620975109,4.47678860851002,-7.08038669559638,0.000142933008916727,0.0219221698270189,1.55483942217433
"ACKR3",3.16232032818562,1.7612084245295,5.2850466713729,0.000918204354585227,0.0441584661591661,-0.196030721487674
"SCD5",3.13657626444969,3.62851334200206,5.84370135860075,0.000493643431458479,0.0371157121209447,0.355060877384565
"AIG1",-3.77486362092243,4.6340703853172,-6.67348905616602,0.000210878814922938,0.0252347513645726,1.15543968684225
"GNA12",2.80428623374913,6.42707341028641,5.41914686735682,0.000788151782018034,0.0411112094912638,-0.228753760459468
"CHRNA6",-4.52591772209424,1.30162450783612,-6.55743833836156,0.000236384607847423,0.0267376189219388,1.08271570563632
"STAR",-3.48849458940973,1.47145493481609,-7.03547928802495,0.000149075040839765,0.0223769981516584,1.53435780141988
"LRP12",-3.69188404832073,3.29984317241378,-7.79776572247656,7.49613023048768e-05,0.0162227422637033,2.2016067485913
"GSDMC",-3.40856390210255,-0.237370437212855,-5.38387525321978,0.000820264592430919,0.0416588609870084,-0.0937688087659412
"SURF4",-1.44422160991123,6.19508576972606,-5.32624608883706,0.00087588795657041,0.0428467707046814,-0.369468733054076
"LRMDA",-5.39106967487357,8.55739339442673,-9.6094122683753,1.78185055949766e-05,0.0129553486500286,3.58877138554812
"MS4A3",-5.08678452190093,5.84884771869404,-8.41063651807693,4.48054061199123e-05,0.0136166303248262,2.70267416075492
"MS4A2",-5.56812990590996,1.90373407971295,-9.03061504969823,2.74520850102892e-05,0.0129553486500286,3.12350470732977
"CCDC15",-2.93656071278774,3.42648344296531,-5.87483518307021,0.000477427247448,0.0366365963776077,0.341680813491101
"FAM124A",-4.97312332011742,0.568552645664557,-5.84585585385643,0.000492501798608257,0.0371157121209447,0.373097987381766
"LYPD6B",-4.85987942747221,1.00969439748158,-6.73614444660357,0.00019839362920767,0.0241903814921889,1.25987447745165
"RGS18",-4.19680734615252,3.66061134568842,-11.020348455172,6.7860397616406e-06,0.0129553486500286,4.45265589033388
"CRIM1",2.74565685623354,7.17894117683431,5.5016542330727,0.000718324127483001,0.0402558339542333,-0.144025330291244
"SEC24D",-1.66146209513263,6.57445619138946,-5.59894495115967,0.000644635743178386,0.0394185603214684,-0.0441840772555375
"WWC2",-4.96250640284292,2.3334915106755,-6.55659888174833,0.000236581202671631,0.0267376189219388,1.07536734028263
